Date,HICP,MRO,UNRATE,M3_growth,Euribor,BTC_price,NASDAQQGLDI,Frequency
2021-01,1.2095238095238159,0.0,6.4,12.5,-0.54715,34123.5620425975,3310.24,Monthly
2021-02,1.2640182474814576,0.0,6.2,12.4,-0.5411,45466.8949750425,3206.58,Monthly
2021-03,1.665089877010395,0.0,6.1,10.1,-0.539087,53997.5316417,3047.02,Monthly
2021-04,2.029642216558103,0.0,6.1,9.4,-0.53815,57193.5115104475,3077.37,Monthly
2021-05,2.3031904851802842,0.0,5.8,8.9,-0.5400952,48836.3145103025,3141.44,Monthly
2021-06,2.201109961433545,0.0,5.9,8.5,-0.5429091,35481.683986782,3085.32,Monthly
2021-07,2.47029983028475,0.0,5.4,8.0,-0.5448182,33740.8249081425,3035.04,Monthly
2021-08,3.169647081086202,0.0,5.1,8.3,-0.5475909,45596.479193827996,2990.76,Monthly
2021-09,3.631892556511862,0.0,4.7,7.8,-0.5450455,45708.41493986464,2951.35,Monthly
2021-10,4.361782477341403,0.0,4.5,7.8,-0.5498095,57944.429993694335,2942.89,Monthly
2021-11,5.150052068541133,0.0,4.1,7.4,-0.5673636,61273.77082684378,2987.33,Monthly
2021-12,5.303387751250366,0.0,3.9,7.0,-0.5819565,48714.397335758156,2924.74,Monthly
2022-01,5.580126093911741,0.0,4.0,6.8,-0.5601429,41795.80937101837,2950.04,Monthly
2022-02,6.222430783669641,0.0,3.9,6.7,-0.5315,40497.91375802843,2987.09,Monthly
2022-03,7.826167876419143,0.0,3.7,6.5,-0.4954348,41818.64032929626,3001.16,Monthly
2022-04,8.095854922279798,0.0,3.7,6.3,-0.4478947,41858.70431489703,2945.77,Monthly
2022-05,8.830042443255227,0.0,3.6,6.0,-0.3857273,31897.83256914327,2815.03,Monthly
2022-06,9.553612517257237,0.0,3.6,6.0,-0.2392273,23796.391904668213,2786.57,Monthly
2022-07,9.781008465218989,0.08064516129032258,3.5,5.8,0.036619,21006.200106702832,2624.74,Monthly
2022-08,10.143066764490083,0.5,3.6,6.2,0.3947391,22589.142385550454,2668.34,Monthly
2022-09,10.942776307383406,0.925,3.5,5.9,1.0108636,20239.15917338073,2542.6,Monthly
2022-10,11.507146734213848,1.25,3.6,5.0,1.4276667,19414.50393251947,2520.02,Monthly
2022-11,11.101107409741617,1.975,3.6,4.6,1.8252273,17942.599248478997,2572.98,Monthly
2022-12,10.386235325746028,2.1774193548387095,3.5,3.8,2.0634762,16885.68951458285,2587.23,Monthly
2023-01,9.97326203208555,2.5,3.5,3.0,2.3448636,20165.610888955915,2630.3,Monthly
2023-02,9.939918713553642,2.875,3.6,2.4,2.64035,23228.494606253982,2554.68,Monthly
2023-03,8.328298955726243,3.161290322580645,3.5,1.9,2.9105652,25382.842337273803,2572.28,Monthly
2023-04,8.10579474450055,3.5,3.4,1.3,3.1794444,28603.22951682262,2603.36,Monthly
2023-05,7.121661721068251,3.6774193548387095,3.6,1.0,3.3717273,27510.968380749015,2581.27,Monthly
2023-06,6.435352432159958,3.8333333333333335,3.6,0.5,3.5358636,27187.758622693305,2505.44,Monthly
2023-07,6.143659374738086,4.0,3.5,-0.2,3.6718095,30225.134862922205,2507.12,Monthly
2023-08,5.9450457951707,4.241935483870968,3.7,-1.3,3.7803043,28010.43474100533,2464.13,Monthly
2023-09,4.9440605462323095,4.341666666666667,3.7,-1.2,3.8800476,26007.806352921798,2449.46,Monthly
2023-10,3.6264806100924973,4.5,3.9,-1.0,3.9676364,30239.386554491135,2422.78,Monthly
2023-11,3.103727714748783,4.5,3.7,-0.9,3.9716364,36564.1830231396,2492.48,Monthly
2023-12,3.4421172268225275,4.5,3.8,0.0,3.9348947,42366.588885167526,2541.26,Monthly
2024-01,3.0958748683037385,4.5,3.7,0.1,3.9252727,43298.61177256915,2543.67,Monthly
2024-02,2.82889978301053,4.5,3.9,0.4,3.9231905,49723.96070350253,2533.85,Monthly
2024-03,2.6051625239005727,4.5,3.9,0.8,3.9231,69488.40922872807,2621.1,Monthly
2024-04,2.573238321456861,4.5,3.9,1.4,3.8853333,67087.22797009101,2673.43,Monthly
2024-05,2.7225959635931885,4.5,3.9,1.5,3.8126818,66724.69940347597,2657.38,Monthly
2024-06,2.6284631778356715,4.341666666666667,4.1,2.2,3.7245,66267.47675592083,2630.7,Monthly
2024-07,2.803221730890715,4.25,4.2,2.3,3.6848261,63747.4568689344,2671.61,Monthly
2024-08,2.428481609556754,4.25,4.2,2.9,3.5475909,58930.17893561818,2705.25,Monthly
2024-09,2.0851297326957674,3.99,4.1,3.2,3.4337143,59411.41007417118,2753.59,Monthly
2024-10,2.3252172551475603,3.5774193548387094,4.1,3.4,3.1666087,65775.67311019565,2798.57,Monthly
2024-11,2.5229898608818635,3.4,4.2,3.8,3.0067619,85035.20758430146,2752.09,Monthly
2024-12,2.684037042850407,3.287096774193548,4.1,3.6,2.8246,97330.82425164549,2745.49,Monthly
2025-01,2.8063831459790967,3.15,4.0,3.7,2.7042727,100228.9631309627,2790.58,Monthly
2025-02,2.672919109026961,2.935714285714286,4.2,3.9,2.52495,96511.94462413914,2819.67,Monthly
2025-03,2.523487848435435,2.7387096774193544,4.2,3.7,2.4424286,84044.11832898247,2846.56,Monthly
2025-04,2.416055576997289,2.5833333333333335,4.2,3.9,2.2494,85762.76358621164,2897.12,Monthly
2025-05,2.211264350104014,2.4,4.3,3.9,2.0872381,103151.674343762,2857.72,Monthly
2025-06,2.3304107060452273,2.2333333333333334,4.1,3.4,1.983619,107137.44996453155,2885.4,Monthly
2025-07,2.350410937860059,2.15,4.3,3.3,1.9863478,114132.3085213656,2853.05,Monthly
2025-08,2.4246144402670033,2.15,4.3,2.9,2.0210952,115038.95224596324,2863.87,Monthly
2025-09,2.587729401827543,2.15,4.4,2.8,2.0272727,112779.67900761473,2975.85,Monthly
2025-10,2.471308339709277,2.15,,2.8,2.0344348,116183.43445129575,3038.67,Monthly
2025-11,2.4455688439129153,2.15,4.5,3.0,2.04165,98225.69260255026,3050.75,Monthly
2025-12,2.285233873433201,2.15,4.4,2.8,2.0484286,87802.20580068268,3127.36,Monthly
