"DATE","TIME PERIOD","Monetary aggregate M3, Annual growth rate (BSI.M.U2.Y.V.M30.X.I.U2.2300.Z01.A)"
"1981-01-31","1981Jan","10.2"
"1981-02-28","1981Feb","10.5"
"1981-03-31","1981Mar","10.4"
"1981-04-30","1981Apr","10.8"
"1981-05-31","1981May","11.2"
"1981-06-30","1981Jun","11.2"
"1981-07-31","1981Jul","10.8"
"1981-08-31","1981Aug","10.6"
"1981-09-30","1981Sep","11.1"
"1981-10-31","1981Oct","10.7"
"1981-11-30","1981Nov","10.1"
"1981-12-31","1981Dec","10.4"
"1982-01-31","1982Jan","10.7"
"1982-02-28","1982Feb","10.5"
"1982-03-31","1982Mar","10.7"
"1982-04-30","1982Apr","10.7"
"1982-05-31","1982May","10.1"
"1982-06-30","1982Jun","10.8"
"1982-07-31","1982Jul","10.9"
"1982-08-31","1982Aug","11.7"
"1982-09-30","1982Sep","11.4"
"1982-10-31","1982Oct","11.2"
"1982-11-30","1982Nov","11.3"
"1982-12-31","1982Dec","11.7"
"1983-01-31","1983Jan","11.2"
"1983-02-28","1983Feb","10.9"
"1983-03-31","1983Mar","10.2"
"1983-04-30","1983Apr","10.1"
"1983-05-31","1983May","10.3"
"1983-06-30","1983Jun","9.6"
"1983-07-31","1983Jul","9.6"
"1983-08-31","1983Aug","9.3"
"1983-09-30","1983Sep","8.9"
"1983-10-31","1983Oct","9.2"
"1983-11-30","1983Nov","9.2"
"1983-12-31","1983Dec","8.8"
"1984-01-31","1984Jan","8.6"
"1984-02-29","1984Feb","8.4"
"1984-03-31","1984Mar","8.5"
"1984-04-30","1984Apr","8.4"
"1984-05-31","1984May","8.7"
"1984-06-30","1984Jun","8.4"
"1984-07-31","1984Jul","8.4"
"1984-08-31","1984Aug","8.6"
"1984-09-30","1984Sep","9.1"
"1984-10-31","1984Oct","8.6"
"1984-11-30","1984Nov","8.4"
"1984-12-31","1984Dec","8.4"
"1985-01-31","1985Jan","8.8"
"1985-02-28","1985Feb","9.4"
"1985-03-31","1985Mar","9.5"
"1985-04-30","1985Apr","9.4"
"1985-05-31","1985May","8.7"
"1985-06-30","1985Jun","8.6"
"1985-07-31","1985Jul","8.4"
"1985-08-31","1985Aug","7.9"
"1985-09-30","1985Sep","7.6"
"1985-10-31","1985Oct","7.7"
"1985-11-30","1985Nov","7.3"
"1985-12-31","1985Dec","7.3"
"1986-01-31","1986Jan","6.8"
"1986-02-28","1986Feb","6.2"
"1986-03-31","1986Mar","6.6"
"1986-04-30","1986Apr","5.9"
"1986-05-31","1986May","6.1"
"1986-06-30","1986Jun","6.1"
"1986-07-31","1986Jul","6.2"
"1986-08-31","1986Aug","6.4"
"1986-09-30","1986Sep","6.7"
"1986-10-31","1986Oct","7.2"
"1986-11-30","1986Nov","7.2"
"1986-12-31","1986Dec","6.9"
"1987-01-31","1987Jan","7.1"
"1987-02-28","1987Feb","7.3"
"1987-03-31","1987Mar","7.0"
"1987-04-30","1987Apr","7.9"
"1987-05-31","1987May","8.1"
"1987-06-30","1987Jun","8.2"
"1987-07-31","1987Jul","8.2"
"1987-08-31","1987Aug","8.3"
"1987-09-30","1987Sep","8.2"
"1987-10-31","1987Oct","8.0"
"1987-11-30","1987Nov","8.2"
"1987-12-31","1987Dec","8.1"
"1988-01-31","1988Jan","7.9"
"1988-02-29","1988Feb","7.8"
"1988-03-31","1988Mar","7.7"
"1988-04-30","1988Apr","8.0"
"1988-05-31","1988May","8.1"
"1988-06-30","1988Jun","8.0"
"1988-07-31","1988Jul","8.1"
"1988-08-31","1988Aug","8.3"
"1988-09-30","1988Sep","8.3"
"1988-10-31","1988Oct","8.3"
"1988-11-30","1988Nov","8.4"
"1988-12-31","1988Dec","8.5"
"1989-01-31","1989Jan","8.6"
"1989-02-28","1989Feb","8.9"
"1989-03-31","1989Mar","9.6"
"1989-04-30","1989Apr","8.8"
"1989-05-31","1989May","8.9"
"1989-06-30","1989Jun","9.6"
"1989-07-31","1989Jul","9.7"
"1989-08-31","1989Aug","9.5"
"1989-09-30","1989Sep","9.5"
"1989-10-31","1989Oct","9.2"
"1989-11-30","1989Nov","9.3"
"1989-12-31","1989Dec","10.0"
"1990-01-31","1990Jan","10.4"
"1990-02-28","1990Feb","10.2"
"1990-03-31","1990Mar","9.1"
"1990-04-30","1990Apr","9.2"
"1990-05-31","1990May","8.9"
"1990-06-30","1990Jun","8.6"
"1990-07-31","1990Jul","8.3"
"1990-08-31","1990Aug","8.3"
"1990-09-30","1990Sep","8.6"
"1990-10-31","1990Oct","8.6"
"1990-11-30","1990Nov","8.6"
"1990-12-31","1990Dec","8.3"
"1991-01-31","1991Jan","7.8"
"1991-02-28","1991Feb","8.1"
"1991-03-31","1991Mar","8.0"
"1991-04-30","1991Apr","8.1"
"1991-05-31","1991May","8.1"
"1991-06-30","1991Jun","7.8"
"1991-07-31","1991Jul","7.9"
"1991-08-31","1991Aug","8.0"
"1991-09-30","1991Sep","7.7"
"1991-10-31","1991Oct","7.6"
"1991-11-30","1991Nov","7.8"
"1991-12-31","1991Dec","7.8"
"1992-01-31","1992Jan","7.3"
"1992-02-29","1992Feb","7.0"
"1992-03-31","1992Mar","7.5"
"1992-04-30","1992Apr","8.0"
"1992-05-31","1992May","8.2"
"1992-06-30","1992Jun","8.2"
"1992-07-31","1992Jul","8.1"
"1992-08-31","1992Aug","7.7"
"1992-09-30","1992Sep","8.7"
"1992-10-31","1992Oct","8.2"
"1992-11-30","1992Nov","8.1"
"1992-12-31","1992Dec","7.4"
"1993-01-31","1993Jan","7.7"
"1993-02-28","1993Feb","7.7"
"1993-03-31","1993Mar","8.4"
"1993-04-30","1993Apr","7.6"
"1993-05-31","1993May","7.3"
"1993-06-30","1993Jun","7.1"
"1993-07-31","1993Jul","6.6"
"1993-08-31","1993Aug","6.6"
"1993-09-30","1993Sep","5.5"
"1993-10-31","1993Oct","6.1"
"1993-11-30","1993Nov","6.0"
"1993-12-31","1993Dec","6.6"
"1994-01-31","1994Jan","6.5"
"1994-02-28","1994Feb","6.2"
"1994-03-31","1994Mar","5.3"
"1994-04-30","1994Apr","5.3"
"1994-05-31","1994May","4.7"
"1994-06-30","1994Jun","4.7"
"1994-07-31","1994Jul","4.9"
"1994-08-31","1994Aug","4.4"
"1994-09-30","1994Sep","4.0"
"1994-10-31","1994Oct","3.7"
"1994-11-30","1994Nov","3.2"
"1994-12-31","1994Dec","2.3"
"1995-01-31","1995Jan","2.4"
"1995-02-28","1995Feb","2.7"
"1995-03-31","1995Mar","2.2"
"1995-04-30","1995Apr","2.2"
"1995-05-31","1995May","2.8"
"1995-06-30","1995Jun","3.1"
"1995-07-31","1995Jul","2.8"
"1995-08-31","1995Aug","3.5"
"1995-09-30","1995Sep","4.2"
"1995-10-31","1995Oct","4.2"
"1995-11-30","1995Nov","4.5"
"1995-12-31","1995Dec","5.7"
"1996-01-31","1996Jan","5.7"
"1996-02-29","1996Feb","5.5"
"1996-03-31","1996Mar","6.0"
"1996-04-30","1996Apr","6.0"
"1996-05-31","1996May","5.6"
"1996-06-30","1996Jun","5.2"
"1996-07-31","1996Jul","5.5"
"1996-08-31","1996Aug","5.3"
"1996-09-30","1996Sep","5.2"
"1996-10-31","1996Oct","4.9"
"1996-11-30","1996Nov","4.6"
"1996-12-31","1996Dec","4.2"
"1997-01-31","1997Jan","3.8"
"1997-02-28","1997Feb","3.8"
"1997-03-31","1997Mar","3.6"
"1997-04-30","1997Apr","3.5"
"1997-05-31","1997May","4.0"
"1997-06-30","1997Jun","4.4"
"1997-07-31","1997Jul","4.6"
"1997-08-31","1997Aug","4.1"
"1997-09-30","1997Sep","4.2"
"1997-10-31","1997Oct","4.7"
"1997-11-30","1997Nov","4.6"
"1997-12-31","1997Dec","4.2"
"1998-01-31","1998Jan","4.8"
"1998-02-28","1998Feb","4.7"
"1998-03-31","1998Mar","4.8"
"1998-04-30","1998Apr","5.4"
"1998-05-31","1998May","5.0"
"1998-06-30","1998Jun","5.1"
"1998-07-31","1998Jul","5.0"
"1998-08-31","1998Aug","5.1"
"1998-09-30","1998Sep","4.8"
"1998-10-31","1998Oct","5.0"
"1998-11-30","1998Nov","5.0"
"1998-12-31","1998Dec","5.0"
"1999-01-31","1999Jan","6.1"
"1999-02-28","1999Feb","5.5"
"1999-03-31","1999Mar","5.6"
"1999-04-30","1999Apr","5.5"
"1999-05-31","1999May","5.6"
"1999-06-30","1999Jun","5.6"
"1999-07-31","1999Jul","5.8"
"1999-08-31","1999Aug","5.8"
"1999-09-30","1999Sep","5.8"
"1999-10-31","1999Oct","5.3"
"1999-11-30","1999Nov","5.8"
"1999-12-31","1999Dec","5.8"
"2000-01-31","2000Jan","5.0"
"2000-02-29","2000Feb","5.8"
"2000-03-31","2000Mar","6.0"
"2000-04-30","2000Apr","5.8"
"2000-05-31","2000May","5.4"
"2000-06-30","2000Jun","4.7"
"2000-07-31","2000Jul","4.2"
"2000-08-31","2000Aug","4.5"
"2000-09-30","2000Sep","4.3"
"2000-10-31","2000Oct","4.1"
"2000-11-30","2000Nov","3.7"
"2000-12-31","2000Dec","4.0"
"2001-01-31","2001Jan","3.8"
"2001-02-28","2001Feb","3.8"
"2001-03-31","2001Mar","3.7"
"2001-04-30","2001Apr","3.9"
"2001-05-31","2001May","4.4"
"2001-06-30","2001Jun","5.4"
"2001-07-31","2001Jul","5.7"
"2001-08-31","2001Aug","6.0"
"2001-09-30","2001Sep","6.8"
"2001-10-31","2001Oct","7.3"
"2001-11-30","2001Nov","7.9"
"2001-12-31","2001Dec","8.0"
"2002-01-31","2002Jan","7.8"
"2002-02-28","2002Feb","7.4"
"2002-03-31","2002Mar","7.3"
"2002-04-30","2002Apr","7.3"
"2002-05-31","2002May","7.8"
"2002-06-30","2002Jun","7.1"
"2002-07-31","2002Jul","7.0"
"2002-08-31","2002Aug","7.0"
"2002-09-30","2002Sep","7.2"
"2002-10-31","2002Oct","6.8"
"2002-11-30","2002Nov","7.1"
"2002-12-31","2002Dec","7.0"
"2003-01-31","2003Jan","7.5"
"2003-02-28","2003Feb","8.3"
"2003-03-31","2003Mar","8.2"
"2003-04-30","2003Apr","9.0"
"2003-05-31","2003May","8.7"
"2003-06-30","2003Jun","8.6"
"2003-07-31","2003Jul","8.8"
"2003-08-31","2003Aug","8.4"
"2003-09-30","2003Sep","7.6"
"2003-10-31","2003Oct","8.1"
"2003-11-30","2003Nov","7.4"
"2003-12-31","2003Dec","7.2"
"2004-01-31","2004Jan","6.4"
"2004-02-29","2004Feb","6.2"
"2004-03-31","2004Mar","6.3"
"2004-04-30","2004Apr","5.4"
"2004-05-31","2004May","4.9"
"2004-06-30","2004Jun","5.4"
"2004-07-31","2004Jul","5.4"
"2004-08-31","2004Aug","5.4"
"2004-09-30","2004Sep","5.9"
"2004-10-31","2004Oct","5.8"
"2004-11-30","2004Nov","5.9"
"2004-12-31","2004Dec","6.6"
"2005-01-31","2005Jan","6.8"
"2005-02-28","2005Feb","6.6"
"2005-03-31","2005Mar","6.4"
"2005-04-30","2005Apr","6.8"
"2005-05-31","2005May","7.3"
"2005-06-30","2005Jun","7.5"
"2005-07-31","2005Jul","8.0"
"2005-08-31","2005Aug","8.2"
"2005-09-30","2005Sep","8.4"
"2005-10-31","2005Oct","7.8"
"2005-11-30","2005Nov","7.6"
"2005-12-31","2005Dec","7.3"
"2006-01-31","2006Jan","7.5"
"2006-02-28","2006Feb","7.8"
"2006-03-31","2006Mar","8.4"
"2006-04-30","2006Apr","8.8"
"2006-05-31","2006May","8.9"
"2006-06-30","2006Jun","8.4"
"2006-07-31","2006Jul","7.7"
"2006-08-31","2006Aug","8.0"
"2006-09-30","2006Sep","8.3"
"2006-10-31","2006Oct","8.5"
"2006-11-30","2006Nov","9.3"
"2006-12-31","2006Dec","10.0"
"2007-01-31","2007Jan","10.3"
"2007-02-28","2007Feb","10.3"
"2007-03-31","2007Mar","11.0"
"2007-04-30","2007Apr","10.2"
"2007-05-31","2007May","10.7"
"2007-06-30","2007Jun","11.0"
"2007-07-31","2007Jul","11.9"
"2007-08-31","2007Aug","11.7"
"2007-09-30","2007Sep","11.5"
"2007-10-31","2007Oct","12.5"
"2007-11-30","2007Nov","12.6"
"2007-12-31","2007Dec","11.5"
"2008-01-31","2008Jan","11.6"
"2008-02-29","2008Feb","11.5"
"2008-03-31","2008Mar","10.1"
"2008-04-30","2008Apr","10.6"
"2008-05-31","2008May","10.3"
"2008-06-30","2008Jun","9.7"
"2008-07-31","2008Jul","9.2"
"2008-08-31","2008Aug","8.8"
"2008-09-30","2008Sep","8.6"
"2008-10-31","2008Oct","8.6"
"2008-11-30","2008Nov","7.7"
"2008-12-31","2008Dec","7.7"
"2009-01-31","2009Jan","6.0"
